,ID_NUM,Match_Prop,L_Min,Run_time,Patterns_Found,Expected_Patterns,Length of Input Strings
0,0.0,0.75,15.0,3.1679704189300537,27.0,27.0,1215.0
1,1.0,0.75,15.0,2.5328798294067383,24.0,26.0,1170.0
2,2.0,0.75,15.0,4.966562032699585,31.0,32.0,1440.0
3,3.0,0.75,15.0,6.7426838874816895,35.0,35.0,1575.0
4,4.0,0.75,15.0,13.725689172744751,46.0,49.0,2205.0
5,5.0,0.75,15.0,9.407793760299683,43.0,44.0,1980.0
6,6.0,0.75,15.0,15.836223363876343,48.0,50.0,2250.0
7,7.0,0.75,15.0,1.7158329486846924,21.0,21.0,945.0
8,8.0,0.75,15.0,0.6992430686950684,13.0,13.0,585.0
9,9.0,0.75,15.0,7.676864862442017,43.0,43.0,1935.0
10,10.0,0.75,15.0,2.559816598892212,24.0,25.0,1125.0
11,11.0,0.75,15.0,3.355233907699585,27.0,27.0,1215.0
12,12.0,0.75,15.0,3.903209686279297,33.0,33.0,1485.0
13,13.0,0.75,15.0,2.628371000289917,24.0,24.0,1080.0
14,14.0,0.75,15.0,6.47800874710083,37.0,37.0,1665.0
15,15.0,0.75,15.0,1.2732336521148682,13.0,14.0,630.0
16,16.0,0.75,15.0,1052.4717392921448,32.0,32.0,1440.0
17,17.0,0.75,15.0,14.323194742202759,35.0,35.0,1575.0
18,18.0,0.75,15.0,5.638700723648071,26.0,27.0,1215.0
19,19.0,0.75,15.0,3.8010354042053223,26.0,26.0,1170.0
20,20.0,0.75,15.0,6.287151336669922,34.0,35.0,1575.0
21,21.0,0.75,15.0,0.8612411022186279,14.0,14.0,630.0
22,22.0,0.75,15.0,4.818114757537842,31.0,32.0,1440.0
23,23.0,0.75,15.0,5.819048643112183,32.0,34.0,1530.0
24,24.0,0.75,15.0,10.09406566619873,39.0,42.0,1890.0
25,25.0,0.75,15.0,0.7741377353668213,14.0,14.0,630.0
26,26.0,0.75,15.0,11.264902114868164,47.0,47.0,2115.0
27,27.0,0.75,15.0,1.3594374656677246,18.0,18.0,810.0
28,28.0,0.75,15.0,8.680793285369873,38.0,38.0,1710.0
29,29.0,0.75,15.0,0.9365520477294922,15.0,15.0,675.0
